epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.1708558293489308,0.13024051255864758,1.1915426978441042,0.13985874115494562
1,0.001,1.116305227463062,0.2124024046937484,1.1214407526444052,0.1907115523156356
2,0.001,1.073632611678197,0.2558390671235017,1.0915697255981303,0.2062892142232521
3,0.001,1.0367778677206774,0.28507516392203497,1.0515123717138701,0.2582557593703113
4,0.001,1.007526124899204,0.2941073010660958,1.0017446357513142,0.2954158038748302
5,0.001,0.9703957369694343,0.3317438745002822,0.9660489982533678,0.3372168222603769
6,0.001,0.9361669765068934,0.35738806474778173,0.9383559121149723,0.34656366725069643
7,0.001,0.9077812089369848,0.37756948898859277,0.9044085456946186,0.3812703825211691
8,0.001,0.8781651785740485,0.38997261241937503,0.8760121782249379,0.41693373262772576
9,0.001,0.8512904208440047,0.4068366868299874,0.8510701918156347,0.411839295401494
10,0.001,0.8227012294989365,0.41896761716206465,0.8226064499293533,0.4465446796741311
11,0.001,0.7971060390655811,0.4381369625953363,0.7969423510203851,0.4568418614292136
12,0.001,0.7756011142180517,0.4459985167118278,0.7765089490703333,0.4595335244362243
13,0.001,0.7552413871655097,0.4529736017477065,0.7580183237512536,0.46955909215294944
14,0.001,0.7323999657080724,0.4666989324822474,0.7336309719308515,0.4806186103022533
15,0.001,0.7107271918883691,0.4755299123543904,0.7086302042007446,0.5066368398770088
16,0.001,0.6923910998381101,0.4862779293811306,0.7008377542005522,0.4847348458955366
17,0.001,0.6776616985981281,0.4881255670639095,0.6792257227630258,0.5009587921347318
18,0.001,0.6532201789892637,0.5124122531573156,0.6673019132881521,0.5056739721948347
19,0.001,0.6421085389760824,0.5102795904940611,0.6441690520705464,0.5146595770403377
20,0.001,0.6259101170759934,0.5218065605233195,0.6313987730819488,0.5370276393325113
21,0.001,0.6134660450311807,0.5246520376320308,0.6084449864993585,0.5495690172220208
22,0.001,0.598332173549212,0.5356820103928629,0.6047979665693836,0.5510694866196207
23,0.001,0.5872136537845318,0.5390254894553063,0.5968548583093091,0.5452070743369368
24,0.001,0.5801310149522928,0.5427838306470298,0.6169292876653583,0.5071464319238963
25,0.001,0.5651368705125955,0.5482910178166072,0.5660231982436136,0.5717498827623123
26,0.001,0.554488038787475,0.5569693818852536,0.559950735524436,0.563948408261786
27,0.001,0.5418494790792465,0.5637868032622417,0.5719482291524656,0.5555805335699969
28,0.001,0.535311113183315,0.5659607539429017,0.5581351501919399,0.5508378104102196
29,0.001,0.5256836013152049,0.5760026916870978,0.5350639992785231,0.5790136199481336
30,0.001,0.5204358811561878,0.5733351773859264,0.5361806527476445,0.5671712709429925
31,0.001,0.509312093257904,0.5891136985224177,0.5284219139090208,0.5769222662596047
32,0.001,0.49993845935051257,0.5873457335693343,0.5244959670806599,0.5689710616201008
33,0.001,0.4970123687615761,0.5918966096144103,0.5179100471122242,0.5788628003302304
34,0.001,0.4974352969573094,0.5853546758413279,0.5078329683464264,0.5870263062925047
35,0.001,0.4872887019927685,0.5964422219076104,0.5056528983829177,0.587071846057264
36,0.001,0.48908285108896404,0.5921770382385465,0.5133636616100775,0.5706421687478604
37,0.001,0.4869913860009267,0.5895989138462918,0.5036651787356795,0.5797328830033929
38,0.001,0.4720561378277265,0.6082945623385826,0.4916829505813456,0.5915836818175283
39,0.001,0.47688429401471066,0.6019415908776656,0.49584142543445126,0.5863841932208845
40,0.001,0.47258462470311385,0.6035234566658145,0.4860373718716274,0.6027091880579416
41,0.001,0.46450473482792193,0.6090817343959463,0.4886392591712631,0.5943372248211868
42,0.001,0.4697830184147908,0.6086365765772868,0.48252943353118183,0.6022786148339317
43,0.001,0.46549808520537156,0.6099717502816554,0.48649469964972164,0.5964702057893885
44,0.001,0.46008023619651794,0.6160593493762868,0.48073754800814333,0.6004857951828245
45,0.001,0.4612059065928826,0.6131900278792263,0.48021536619863775,0.6030492686133263
46,0.001,0.46794817539361805,0.607556477231115,0.48209913088896567,0.5996055002131501
47,0.001,0.46737261001880354,0.6082657098024168,0.48101994729487696,0.60075762206204
48,0.001,0.46838423495109266,0.6062387829031693,0.47948938998106483,0.6004224295530105
49,0.001,0.464248755803475,0.6088897642287872,0.48053493761570654,0.5994769926428258
